Title and feature,Price (fcfa),Marque,Delivery price,Rating,Delivery to,Picture,Link
Samsung Galaxy A12 - 4G - 6.5" - RAM 4Go - ROM 64Go - Caméra 48+5+2+2MP - 5000mAh – Bleu,87000,Samsung,550 FCFA,4.4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/79/10016/1.jpg?6221,https://www.jumia.sn/samsung-galaxy-a12-4g-6.5-ram-4go-rom-64go-camera-48522mp-5000mah-bleu-6100197.html
Samsung Galaxy A12- 4G - 6.5" - RAM 4Go - ROM 64Go - Caméra 48+5+2+2MP - 5000mAh – Black,87000,Samsung,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/69/10016/1.jpg?6221,https://www.jumia.sn/samsung-galaxy-a12-4g-6.5-ram-4go-rom-64go-camera-48522mp-5000mah-black-6100196.html
Tecno Camon 17 - Ecran  6.55" - ROM 128Go - RAM 4Go - Camera arrière 48MP - front 8 MP-  5000mAh - Silver,93000,Tecno,550 FCFA,4.1/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/92/37188/1.jpg?6184,https://www.jumia.sn/tecno-camon-17-ecran-6.55-rom-128go-ram-4go-camera-arriere-48mp-front-8-mp-5000mah-silver-8817329.html
Tecno Spark 7 - 6.5" - ROM 64Go - RAM 3Go - Caméra 16MP / 8MP - 5000mAh - Noir,69600,Tecno,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/00/10588/1.jpg?5809,https://www.jumia.sn/tecno-spark-7-6.5-rom-64go-ram-3go-camera-16mp-8mp-5000mah-noir-8850100.html
Tecno Camon 17 - 6.6" - ROM 128Go - RAM 6Go - Camera arrière 48MP - 5000mAh - Argenté,101000,Tecno,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/82/37188/1.jpg?1586,https://www.jumia.sn/tecno-camon-17-6.6-rom-128go-ram-6go-camera-arriere-48mp-5000mah-argente-8817328.html
Tecno POP 2F - 5.5’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie : 2400mAh - Gold,35500,Tecno,550 FCFA,4.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/97/47795/1.jpg?1959,https://www.jumia.sn/tecno-pop-2f-5.5-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-2400mah-gold-5977479.html
Tecno SPARK  Go - 6.52" - ROM 32GB - RAM 2GB - Camera 13/8MP -  iCE jadette,51900,Tecno,550 FCFA,4.3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/05/14406/1.jpg?6881,https://www.jumia.sn/tecno-spark-go-6.52-rom-32gb-ram-2gb-camera-138mp-ice-jadette-6044150.html
Tecno Camon 17 - 6.55" - ROM 128Go - RAM 4Go - Triple Caméra arrière 48MP - front 8MP - 5000mAh - Deep Sea,92300,Tecno,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/03/37188/1.jpg?4152,https://www.jumia.sn/tecno-camon-17-6.55-rom-128go-ram-4go-triple-camera-arriere-48mp-front-8mp-5000mah-deep-sea-8817330.html
Tecno Pouvoir 4 - 4G LTE - 2 SIM - 8/13 Mpx - 3/32 Go - 6000 Mah- Ice jadette,62900,Tecno,550 FCFA,4.7/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/26/47795/1.jpg?5191,https://www.jumia.sn/tecno-pouvoir-4-4g-lte-2-sim-813-mpx-332-go-6000-mah-ice-jadette-5977462.html
Tecno Camon 15 - 6.6" - ROM 64Go - RAM 4Go - Caméra 48MP - 5000mAh - Shoal Gold,74900,Tecno,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/34/47795/1.jpg?9648,https://www.jumia.sn/tecno-camon-15-6.6-rom-64go-ram-4go-camera-48mp-5000mah-shoal-gold-5977443.html
Tecno F1 - Ecran 5" - ROM 8 Go - 1 Go RAM - Caméra 5 Mégapixels - Batterie 2000 mAh - Gold,29900,Tecno,550 FCFA,3.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/18/47795/1.jpg?7339,https://www.jumia.sn/tecno-f1-ecran-5-rom-8-go-1-go-ram-camera-5-megapixels-batterie-2000-mah-gold-5977481.html
Samsung Galaxy A32 - ROM 128Go - RAM 6Go - 64+8+5+5MP - Noir,151500,Samsung,550 FCFA,4.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/40/91788/1.jpg?2285,https://www.jumia.sn/samsung-galaxy-a32-rom-128go-ram-6go-64855mp-noir-8871904.html
Samsung GalaxyA22-Ecran6.6"- ROM 64Go - RAM 4Go - Camera 48/8/5/2MP - Selfie 13MP- Noir,113900,Samsung,550 FCFA,4.7/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/69/27319/1.jpg?9563,https://www.jumia.sn/samsung-galaxya22-ecran6.6-rom-64go-ram-4go-camera-48852mp-selfie-13mp-noir-9137296.html
Infinix Smart 5 3G - 6,6" HD - Rom 32Go - Ram 2Go - Caméra 8MP Camera front 8MP - 5000mAh - Noir,49000,Infinix,550 FCFA,4.2/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/33/12846/1.jpg?4154,https://www.jumia.sn/infinix-smart-5-3g-66-hd-rom-32go-ram-2go-camera-8mp-camera-front-8mp-5000mah-noir-6482133.html
Tecno Spark 7 - 6.5" - ROM 64Go - RAM 3Go - Caméra 16MP / 8MP - 5000mAh - Vert,71900,Tecno,550 FCFA,3.9/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/36388/1.jpg?3457,https://www.jumia.sn/tecno-spark-7-6.5-rom-64go-ram-3go-camera-16mp-8mp-5000mah-vert-8836354.html
Oking Mate 21 Pro -RAM 2Go ROM -16Go Dual SIM,27000,Oking,550 FCFA,3.5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/77/62894/1.jpg?2772,https://www.jumia.sn/oking-mate-21-pro-ram-2go-rom-16go-dual-sim-4982677.html
Tecno POP 2F - 5.5’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie : 2400mAh - Noir,35500,Tecno,550 FCFA,3.9/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/47795/1.jpg?6469,https://www.jumia.sn/tecno-pop-2f-5.5-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-2400mah-noir-5977478.html
Tecno Pop 5 P – Écran 6.1″ – ROM 32GB – RAM 2GB – Caméra 8/5MP  – 5000 mAh - Bleu,51900,Tecno,550 FCFA,3.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/66/66529/1.jpg?4150,https://www.jumia.sn/tecno-pop-5-p-ecran-6.1-rom-32gb-ram-2gb-camera-85mp-5000-mah-bleu-9256666.html
Tecno Pop 5 P – Écran 6.52″ – ROM 32GB – RAM 2GB – Caméra 8/5MP  – Noir,51900,Tecno,550 FCFA,4.6/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/02/01229/1.jpg?6681,https://www.jumia.sn/tecno-pop-5-p-ecran-6.52-rom-32gb-ram-2gb-camera-85mp-noir-9221020.html
Tecno POP 3 - Ecran 5.7’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - 3500mAh - Empreinte Digitale - Gold,42900,Tecno,550 FCFA,3.6/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/47/47795/1.jpg?2944,https://www.jumia.sn/tecno-pop-3-ecran-5.7-double-sim-rom-16-go-ram-1-go-camera-85-mp-3500mah-empreinte-digitale-gold-5977474.html
Invens H3 - Ecran 5" - Double SIM - 3G - ROM 16Go - RAM 2Go - Camera 5MP- Noir,24500,Invens,550 FCFA,3.3/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/16616/1.jpg?6388,https://www.jumia.sn/invens-h3-ecran-5-double-sim-3g-rom-16go-ram-2go-camera-5mp-noir-6166165.html
Tecno Pop 5 – Écran 6.1″ – ROM 32GB – RAM 2GB – Caméra 5/5MP  - 5000 mAh - Bleu,49900,Tecno,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/42/01229/1.jpg?9799,https://www.jumia.sn/tecno-pop-5-ecran-6.1-rom-32gb-ram-2gb-camera-55mp-5000-mah-bleu-9221024.html
Tecno Spark 7P - 6.8" - ROM 64Go - RAM 4Go - Caméra 16MP / 8MP - 5000mAh - Vert,73900,Tecno,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/54/38639/1.jpg?9455,https://www.jumia.sn/tecno-spark-7p-6.8-rom-64go-ram-4go-camera-16mp-8mp-5000mah-vert-9368345.html
AIRPHA MEGA 3– 5.5 Pouces – Dual Sim – 1Go Ram – 16Go Rom - 2500 mAh - Green Bleu,27900,AIRPHA,550 FCFA,3.8/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/02/23288/1.jpg?4449,https://www.jumia.sn/airpha-mega-3-5.5-pouces-dual-sim-1go-ram-16go-rom-2500-mah-green-bleu-8823220.html
Samsung Galaxy A22-Ecran 6.6" - ROM 128Go RAM 4Go - Camera 48/8/5/2MP- Selfie 8MP- Vert,117500,Samsung,550 FCFA,4.4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/27319/1.jpg?0731,https://www.jumia.sn/samsung-galaxy-a22-ecran-6.6-rom-128go-ram-4go-camera-48852mp-selfie-8mp-vert-9137295.html
Infinix HOT 10  4G - Ecran 6.78"- ROM 64Go - RAM 3Go Camera avant 8MP arrière 16 MP+2MP+2MP - 5200 MAh - Noir,74900,Infinix,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/81/12846/1.jpg?4154,https://www.jumia.sn/infinix-hot-10-4g-ecran-6.78-rom-64go-ram-3go-camera-avant-8mp-arriere-16-mp2mp2mp-5200-mah-noir-6482118.html
Generic Montre unisex Digital - bracelet métal - magnétique - Arg,2700,Generic,550 FCFA,3.4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/67/58206/1.jpg?2837,https://www.jumia.sn/generic-montre-unisex-digital-bracelet-metal-magnetique-arg-6028576.html
Tecno Spark 7P - 6.8" - ROM 64Go - RAM 4Go - Caméra arrière 16MP Camera Front 8MP - 5000mAh - Bleu,73900,Tecno,550 FCFA,0/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/86/81288/1.jpg?8453,https://www.jumia.sn/tecno-spark-7p-6.8-rom-64go-ram-4go-camera-arriere-16mp-camera-front-8mp-5000mah-bleu-8821868.html
Tecno POP 3 - Ecran 5.7’’ - Double SIM - ROM 16 Go - RAM 1 Go - Caméra 8/5 Mp - Batterie 3500mAh - Empreinte Digitale - Noir,42900,Tecno,550 FCFA,4/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/67/47795/1.jpg?0754,https://www.jumia.sn/tecno-pop-3-ecran-5.7-double-sim-rom-16-go-ram-1-go-camera-85-mp-batterie-3500mah-empreinte-digitale-noir-5977476.html
Invens Max15 – Mémoire 16 Go – RAM 2 Go – Photo 8 Mp – Ecran 6.2″- Vert,33000,Invens,550 FCFA,5/5,Medina,https://sn.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/75/56019/1.jpg?4937,https://www.jumia.sn/invens-max15-memoire-16-go-ram-2-go-photo-8-mp-ecran-6.2-vert-9106557.html
